Time	Duration	Trackname	Comments
53567	0	left	(null)
53666	0	right	(null)
55933	0	left	(null)
56900	0	right	(null)
58400	0	left	(null)
60166	0	right	(null)
63099	0	left	(null)
65634	0	right	(null)
67533	0	left	(null)
70776	0	right	(null)
72099	0	left	(null)
73467	0	end	(null)
73467	0	left	(null)
75000	0	right	(null)
75467	0	away	(null)
77734	0	left	(null)
79134	0	right	(null)
80197	0	left	(null)
81400	0	right	(null)
83400	0	left	(null)
84599	0	right	(null)
85333	0	left	(null)
87400	0	right	(null)
87967	0	left	(null)
89400	0	right	(null)
90433	0	left	(null)
91599	0	right	(null)
92067	0	away	(null)
92734	0	end	(null)
92766	0	right	(null)
98134	0	left	(null)
102734	0	right	(null)
108100	0	left	(null)
112067	0	end	(null)
112067	0	left	(null)
112067	14733	peek	Not the parent. Another person was peeking from the background.
113967	0	right	(null)
114666	0	left	(null)
116333	0	right	(null)
116734	0	left	(null)
117933	0	right	(null)
118900	0	left	(null)
119400	0	right	(null)
120467	0	left	(null)
121134	0	right	(null)
121734	0	left	(null)
123433	0	right	(null)
124099	0	left	(null)
126043	0	away	(null)
127000	0	left	(null)
128766	0	right	(null)
129134	0	left	(null)
131466	0	end	(null)
131466	0	right	(null)
131867	0	left	(null)
136199	0	right	(null)
141134	0	left	(null)
145000	0	right	(null)
149699	0	left	(null)
150766	0	end	(null)
150766	0	right	(null)
151266	0	left	(null)
155867	0	right	(null)
161192	0	left	(null)
165923	0	right	(null)
170233	0	end	(null)
170233	0	right	(null)
171833	0	left	(null)
174966	0	right	(null)
176199	0	left	(null)
177100	0	right	(null)
179634	0	left	(null)
181867	0	right	(null)
184533	0	left	(null)
185800	0	right	(null)
189033	0	left	(null)
189567	0	end	(null)
189567	0	right	(null)
192100	0	left	(null)
193000	0	right	(null)
193500	0	left	(null)
196899	0	right	(null)
197458	0	left	(null)
199699	0	right	(null)
200500	0	left	(null)
201167	0	right	(null)
202067	0	left	(null)
203167	0	right	(null)
204333	0	left	(null)
205600	0	right	(null)
208134	0	left	(null)
208934	0	right	(null)
209033	0	end	(null)
209144	0	left	(null)
211966	0	right	(null)
213766	0	left	(null)
217134	0	away	(null)
220500	0	left	(null)
222733	0	right	(null)
227000	0	left	(null)
228367	0	end	(null)
228367	0	left	(null)
234500	0	right	(null)
235500	0	left	(null)
235934	0	away	(null)
236333	0	right	(null)
239167	0	away	(null)
239800	0	right	(null)
241233	0	away	(null)
244766	0	right	(null)
245699	0	away	(null)
247367	0	left	(null)
248300	0	end	(null)
248300	0	right	(null)
248399	0	left	(null)
257500	0	right	(null)
265433	0	left	(null)
267334	0	right	(null)
267700	0	end	(null)
267700	0	right	(null)
267933	0	left	(null)
268299	0	away	(null)
269266	0	right	(null)
270299	0	away	(null)
273100	0	right	(null)
274166	0	left	(null)
274867	0	away	(null)
275666	0	left	(null)
276734	0	right	(null)
277766	0	left	(null)
278533	0	away	(null)
279334	0	left	(null)
280867	0	right	(null)
281834	0	away	(null)
283600	0	left	(null)
284066	0	away	(null)
284933	0	right	(null)
285933	0	left	(null)
286867	0	away	(null)
287600	0	end	(null)
287600	0	left	(null)
307000	0	end	(null)
307000	0	left	(null)
309000	0	right	(null)
310443	0	left	(null)
326467	0	end	(null)
326500	0	left	(null)
336467	0	right	(null)
337334	0	left	(null)
339033	0	right	(null)
339334	0	left	(null)
342066	0	right	(null)
342600	0	left	(null)
344066	0	right	(null)
344799	0	left	(null)
345299	0	away	(null)
345867	0	end	(null)
345867	0	right	(null)
347566	0	left	(null)
349399	0	right	(null)
350566	0	away	(null)
355334	0	left	(null)
356100	0	away	(null)
358033	0	left	(null)
358899	0	right	(null)
361566	0	left	(null)
363734	0	right	(null)
365134	0	end	(null)
365166	0	right	(null)
366433	0	left	(null)
367200	0	right	(null)
385033	0	end	(null)
385066	0	left	(null)
387500	0	right	(null)
389933	0	left	(null)
391899	0	right	(null)
392867	0	left	(null)
394299	0	right	(null)
395399	0	left	(null)
396334	0	away	(null)
396867	0	right	(null)
397533	0	left	(null)
399566	0	right	(null)
402033	0	left	(null)
404334	0	end	(null)
404367	0	left	(null)
404799	0	right	(null)
405834	0	left	(null)
406266	0	right	(null)
406700	0	left	(null)
407933	0	right	(null)
411533	0	left	(null)
413834	0	right	(null)
423799	0	end	(null)
423834	0	right	(null)
424134	0	left	(null)
427266	0	right	(null)
429933	0	left	(null)
430834	0	right	(null)
432666	0	left	(null)
433799	0	right	(null)
435834	0	left	(null)
436933	0	away	(null)
441066	0	right	(null)
442399	0	left	(null)
443500	0	end	(null)
443533	0	left	(null)
444134	0	right	(null)
449100	0	left	(null)
450734	0	right	(null)
457200	0	left	(null)
459834	0	right	(null)
463367	0	end	(null)
463399	0	left	(null)
463666	0	right	(null)
464600	0	left	(null)
465399	0	right	(null)
467134	0	left	(null)
468700	0	right	(null)
470033	0	left	(null)
473399	0	right	(null)
476734	0	left	(null)
480000	0	right	(null)
482867	0	left	(null)
483100	0	end	(null)
483134	0	right	(null)
486899	0	left	(null)
488100	0	right	(null)
489867	0	left	(null)
490433	0	right	(null)
495533	0	left	(null)
496734	0	right	(null)
497433	0	left	(null)
498734	0	right	(null)
501533	0	left	(null)
502266	0	right	(null)
502867	0	end	(null)
502899	0	left	(null)
503834	0	right	(null)
506600	0	left	(null)
507066	0	right	(null)
510066	0	left	(null)
515842	0	right	(null)
521660	0	left	(null)
736900	0	end	(null)
