Time	Duration	Trackname	Comments
34	0	right	(null)
4547	0	left	(null)
6998	0	right	(null)
8515	0	left	(null)
11364	0	right	(null)
13281	0	left	(null)
15996	0	right	(null)
16732	0	left	(null)
19465	0	right	(null)
20023	0	end	(null)
22298	0	left	(null)
24245	1241	distract	(null)
24424	0	left	(null)
26646	0	right	(null)
28878	0	left	(null)
29313	0	right	(null)
29781	0	left	(null)
30656	0	away	(null)
31576	0	right	(null)
34592	0	left	(null)
36462	0	right	(null)
38394	0	left	(null)
39980	0	end	(null)
40794	0	left	(null)
41794	0	right	(null)
44928	0	left	(null)
46512	0	right	(null)
46911	0	left	(null)
49230	0	right	(null)
50092	0	left	(null)
51145	0	right	(null)
52212	0	left	(null)
58133	0	right	(null)
58893	0	end	(null)
736900	0	end	(null)
