Time	Duration	Trackname	Comments
0	1572	outofframe	(null)
700	0	right	(null)
1731	0	left	(null)
2834	0	right	(null)
3299	0	left	(null)
5434	0	right	(null)
5969	0	left	(null)
7144	0	right	(null)
7761	0	left	(null)
19934	0	end	(null)
20061	0	right	(null)
20733	0	left	(null)
22579	0	right	(null)
24934	0	left	(null)
25267	0	right	(null)
28431	0	left	(null)
30986	0	right	(null)
33856	0	left	(null)
34234	0	right	(null)
36551	0	left	(null)
37067	0	right	(null)
38266	0	left	(null)
39734	0	left	(null)
39915	0	end	(null)
40067	0	right	(null)
40534	0	left	(null)
42900	0	right	(null)
44166	0	left	(null)
45578	0	right	(null)
45966	0	left	(null)
48590	0	right	(null)
49417	0	left	(null)
52101	0	away	(null)
53367	0	right	(null)
54024	0	left	(null)
54963	0	away	(null)
57166	0	right	(null)
58000	0	left	(null)
58238	0	away	(null)
59701	0	right	(null)
60000	0	end	(null)
736900	0	end	(null)
