Time	Duration	Trackname	Comments
0	0	right	(null)
662	0	left	(null)
1227	0	right	(null)
2567	0	left	(null)
4000	0	away	(null)
4701	0	left	(null)
7666	0	right	(null)
9133	0	left	(null)
9666	0	away	(null)
12534	0	left	(null)
15333	0	away	(null)
16997	2670	fuss	level=1
19934	0	end	(null)
20034	0	left	(null)
22464	0	right	(null)
23521	0	left	(null)
27033	0	right	(null)
28718	0	left	(null)
31117	0	away	(null)
31767	0	left	(null)
32800	0	away	(null)
34668	1832	fuss	level=1
34894	0	right	(null)
36333	0	away	(null)
39701	0	right	(null)
40034	0	end	(null)
40140	0	right	(null)
40685	0	left	(null)
43736	0	right	(null)
44330	0	left	(null)
46466	0	right	(null)
47151	0	left	(null)
48401	0	right	(null)
49638	0	left	(null)
53247	0	right	(null)
53766	0	left	(null)
56764	0	right	(null)
57166	0	left	(null)
59567	0	end	(null)
736900	0	end	(null)
