Time	Duration	Trackname	Comments
0	0	right	(null)
533	0	left	(null)
967	1710	peek	(null)
1399	0	right	(null)
2900	0	left	(null)
4878	0	right	(null)
5834	0	left	(null)
8567	0	right	(null)
9534	0	left	(null)
12300	0	right	(null)
13666	0	away	(null)
14067	0	left	(null)
17267	0	right	(null)
19934	0	end	(null)
19966	0	right	(null)
24166	0	left	(null)
27500	0	right	(null)
27899	0	left	(null)
29500	0	right	(null)
31333	0	left	(null)
32099	0	right	(null)
34534	0	left	(null)
38933	0	away	(null)
39766	0	end	(null)
39799	0	right	(null)
42433	0	left	(null)
44333	0	away	(null)
45601	0	left	(null)
48666	0	away	(null)
48734	0	left	(null)
53900	0	right	(null)
54966	0	left	(null)
55900	0	right	(null)
58666	0	left	(null)
59266	0	end	(null)
736900	0	end	(null)
