Time	Duration	Trackname	Comments
0	0	left	(null)
3434	0	right	(null)
4166	0	left	(null)
5066	0	right	(null)
5533	0	left	(null)
8234	0	right	(null)
8567	0	left	(null)
12699	0	right	(null)
13067	0	left	(null)
17634	0	right	(null)
18066	0	left	(null)
19966	0	end	(null)
20000	0	right	(null)
20233	0	left	(null)
22466	0	right	(null)
23267	0	left	(null)
24000	0	right	(null)
25466	0	left	(null)
26299	0	right	(null)
26534	0	left	(null)
27299	0	right	(null)
28767	0	left	(null)
30134	0	right	(null)
32000	0	left	(null)
32966	0	right	(null)
35234	0	left	(null)
36101	0	right	(null)
36466	0	left	(null)
38567	0	right	(null)
39200	0	left	(null)
40000	0	end	(null)
40034	0	left	(null)
40133	0	right	(null)
41700	0	left	(null)
44966	0	right	(null)
45200	0	left	(null)
47067	0	right	(null)
47799	0	left	(null)
48099	0	right	(null)
48599	0	left	(null)
50000	0	right	(null)
50333	0	left	(null)
51133	0	away	(null)
54034	0	left	(null)
54867	0	right	(null)
55400	0	left	(null)
58867	0	away	(null)
59933	0	end	(null)
