Time	Duration	Trackname	Comments
0	0	right	(null)
1067	0	left	(null)
4334	0	right	(null)
6900	0	left	(null)
12699	0	right	(null)
15734	0	left	(null)
19066	0	right	(null)
20000	0	end	(null)
20000	0	right	(null)
20233	0	left	(null)
21934	0	right	(null)
24134	0	left	(null)
25833	0	right	(null)
27634	0	away	(null)
29566	0	right	(null)
30600	0	left	(null)
31466	0	right	(null)
39599	0	left	(null)
40000	0	end	(null)
40034	0	right	(null)
40400	0	left	(null)
45266	0	right	(null)
50534	0	left	(null)
55567	0	right	(null)
59966	0	end	(null)
60000	0	left	(null)
71199	0	right	(null)
73199	0	left	(null)
75134	0	right	(null)
75766	0	left	(null)
79900	0	end	(null)
79933	0	right	(null)
82134	0	left	(null)
85766	0	away	(null)
93099	0	left	(null)
94333	0	right	(null)
98266	0	left	(null)
99734	0	right	(null)
99866	0	end	(null)
99900	0	left	(null)
100666	0	right	(null)
105699	0	left	(null)
109766	0	right	(null)
115766	0	left	(null)
119833	0	end	(null)
119866	0	left	(null)
120567	0	right	(null)
122433	0	left	(null)
122866	0	right	(null)
123699	0	left	(null)
124067	0	right	(null)
124533	0	left	(null)
124967	0	right	(null)
125833	0	left	(null)
127699	0	right	(null)
130500	0	left	(null)
131634	0	right	(null)
135634	0	left	(null)
139867	0	end	(null)
139899	0	left	(null)
140899	0	right	(null)
141367	0	left	(null)
146934	0	right	(null)
152100	0	left	(null)
153000	0	right	(null)
156033	0	left	(null)
159867	0	end	(null)
159899	0	left	(null)
160699	0	right	(null)
164867	0	left	(null)
170867	0	right	(null)
171367	0	left	(null)
176167	0	away	(null)
176733	0	left	(null)
179434	0	right	(null)
179867	0	end	(null)
179899	0	right	(null)
181233	0	left	(null)
189966	0	right	(null)
192533	0	left	(null)
194966	0	right	(null)
197367	0	left	(null)
198699	0	right	(null)
199867	0	end	(null)
199899	0	right	(null)
202533	0	left	(null)
202966	0	right	(null)
204000	0	left	(null)
206966	0	right	(null)
213966	0	left	(null)
215634	0	right	(null)
218567	0	left	(null)
219867	0	end	(null)
219899	0	left	(null)
236699	0	right	(null)
237134	0	left	(null)
239000	0	right	(null)
239899	0	end	(null)
239934	0	right	(null)
244934	0	left	(null)
249000	0	right	(null)
259033	0	left	(null)
259867	0	end	(null)
259867	0	right	(null)
259899	0	left	(null)
262299	0	right	(null)
263033	0	left	(null)
263533	0	right	(null)
263899	0	left	(null)
267799	0	right	(null)
268467	0	left	(null)
270100	0	away	(null)
271634	0	left	(null)
273967	0	right	(null)
275734	0	left	(null)
277200	0	right	(null)
278467	0	left	(null)
279867	0	end	(null)
279899	0	right	(null)
281566	0	left	(null)
283867	0	right	(null)
286234	0	left	(null)
288666	0	right	(null)
296433	0	left	(null)
298000	0	right	(null)
299834	0	end	(null)
299867	0	right	(null)
308334	0	left	(null)
309766	0	right	(null)
319766	0	end	(null)
319799	0	left	(null)
326433	0	right	(null)
327700	0	left	(null)
335967	0	right	(null)
337166	0	left	(null)
339700	0	end	(null)
339734	0	left	(null)
341134	0	right	(null)
343766	0	left	(null)
346299	0	right	(null)
347899	0	left	(null)
351399	0	right	(null)
359066	0	left	(null)
359700	0	end	(null)
359734	0	right	(null)
362299	0	left	(null)
364299	0	right	(null)
369134	0	left	(null)
370867	0	right	(null)
372134	0	left	(null)
375799	0	right	(null)
379134	0	left	(null)
379600	0	end	(null)
379634	0	right	(null)
382666	0	left	(null)
389033	0	right	(null)
389867	0	left	(null)
393634	0	right	(null)
395166	0	left	(null)
399566	0	end	(null)
399600	0	left	(null)
410033	0	right	(null)
410433	0	left	(null)
412734	0	right	(null)
415066	0	left	(null)
415500	0	right	(null)
419533	0	end	(null)
419566	0	right	(null)
421634	0	left	(null)
424799	0	right	(null)
433734	0	left	(null)
438500	0	right	(null)
439500	0	end	(null)
439533	0	left	(null)
440266	0	right	(null)
441134	0	left	(null)
441834	0	right	(null)
443367	0	left	(null)
446200	0	right	(null)
447834	0	left	(null)
452000	0	right	(null)
452500	0	left	(null)
459500	0	end	(null)
459533	0	left	(null)
475867	0	right	(null)
479500	0	end	(null)
736900	0	end	(null)
